UserName,retweetedCount,Tweet
SG InsideIT,4,[#sgithub] the speakers for tonight. @porteneuve @romaintaz @pastjohndk https://t.co/8mQBDKiiIk
Bassem Asseh,4,Follow the @github meetup in Paris with @societegenerale on #SGitHub https://t.co/hjUt8IzIeG
SG InsideIT,2,[#meetup #sg #github #sgithub] starting-blocks-10min https://t.co/moW5MXqPlu
P.-E. Fraisse,2,#sgithub Tonight!
Alain Hélaïli,1,C'est parti!!! #sgithub https://t.co/sQB3a8dc9e
Rémi Andrieux,1,Meetup GitHub @ Société Générale cc @github @SocieteGenerale #SGitHub https://t.co/ak965BzDcK
FollowMyDev,0,#SGitHub la file d'attente pour le Meetup GitHub @SocieteGenerale https://t.co/peU6kXArfD
Bassem Asseh,0,@djam4242 introducing the #SGitHub meetup https://t.co/L84Xnh5rHv
Samuel Kauffmann,0,Meetup GitHub à la société générale #sgithub https://t.co/rteyOf5m2m
Frank Denis,0,Any followers at #sgithub ? https://t.co/0V60nlwenn
gyzpunk,0,Le meetup @github à la SG va bientôt commencer ! Cc @SG_InsideIT #SGitHub https://t.co/D5dJytzhs1
Hertog Van Dré,0,Getting ready! #SGitHub @github @SocieteGenerale https://t.co/XLsOrbaAaw
FollowMyDev,0,#SGitHub en direct de l'amphi Valmy - Meetup GitHub @SocieteGenerale https://t.co/o0mlCJQpU4
gyzpunk,0,La salle se rempli gentiment #sgithub https://t.co/w56uVhfXIL
